name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,date
Falcon USD,usdf,0.997754,1748326875,1139963.0,-0.04505,2026-03-21
Sky,sky,0.073591,1697780740,10849819.0,1.94473,2026-03-21
Aster,aster,0.69122,1697615207,132254766.0,0.65887,2026-03-21
NEAR Protocol,near,1.31,1693527282,120616805.0,-2.22441,2026-03-21
Bitcoin,btc,70574.0,1411586264962,32087863353.0,-0.05721,2026-03-21
Ethereum,eth,2153.09,259871801927,13274710631.0,0.18414,2026-03-21
Tether,usdt,0.999784,184142365540,50529853249.0,-0.01828,2026-03-21
XRP,xrp,1.44,88307188413,1492556456.0,-0.79873,2026-03-21
BNB,bnb,642.74,87641246525,796248888.0,-0.09131,2026-03-21
USDC,usdc,0.999901,79038906897,4777709154.0,-0.0006,2026-03-21
Solana,sol,89.94,51425644952,2437456744.0,0.64583,2026-03-21
TRON,trx,0.309751,29349398594,535397300.0,1.07186,2026-03-21
Figure Heloc,figr_heloc,1.003,15889689398,330310642.0,0.12024,2026-03-21
Dogecoin,doge,0.093962,14424413212,566846058.0,-0.48099,2026-03-21
WhiteBIT Coin,wbt,55.25,11793778832,54384839.0,-0.12144,2026-03-21
USDS,usds,1.0,11761645362,11479502.0,-0.00056,2026-03-21
Cardano,ada,0.264187,9734310410,304948153.0,-1.86456,2026-03-21
Hyperliquid,hype,39.61,9444136767,244813225.0,-0.1647,2026-03-21
Bitcoin Cash,bch,468.44,9373626133,179922232.0,1.02755,2026-03-21
LEO Token,leo,9.22,8489551634,426003.0,0.24414,2026-03-21
Chainlink,link,9.1,6442131486,288588755.0,-0.14281,2026-03-21
Monero,xmr,348.55,6427732822,75712156.0,0.8178,2026-03-21
Ethena USDe,usde,0.999917,5923244222,104187132.0,0.0108,2026-03-21
Canton,cc,0.147346,5611041179,6459805.0,2.83489,2026-03-21
Stellar,xlm,0.165098,5449671431,69377176.0,-1.33042,2026-03-21
USD1,usd1,0.999774,4424669221,1060807225.0,0.03617,2026-03-21
Litecoin,ltc,56.11,4320454324,287307420.0,0.7823,2026-03-21
Dai,dai,0.999886,4315780361,155997376.0,-0.0079,2026-03-21
Rain,rain,0.00869299,4156091010,12865604.0,-0.70411,2026-03-21
Avalanche,avax,9.5,4102582301,228600550.0,-0.46703,2026-03-21
PayPal USD,pyusd,1.0,4072194941,80506688.0,0.00799,2026-03-21
Hedera,hbar,0.092587,4009143317,46695164.0,-1.26956,2026-03-21
Zcash,zec,233.84,3884379549,235819912.0,-0.58489,2026-03-21
Sui,sui,0.961852,3751226413,242953361.0,-1.14096,2026-03-21
Shiba Inu,shib,5.99e-06,3531641429,156567032.0,-0.64232,2026-03-21
Cronos,cro,0.074857,3165601617,8203769.0,-0.99038,2026-03-21
Toncoin,ton,1.26,3108120605,103603460.0,1.90067,2026-03-21
MemeCore,m,1.62,2840766480,8044621.0,-0.65853,2026-03-21
World Liberty Financial,wlfi,0.093965,2598694563,79508815.0,4.12731,2026-03-21
Bittensor,tao,269.72,2591830774,365003882.0,-5.25352,2026-03-21
Tether Gold,xaut,4493.36,2537201155,669105377.0,-3.47884,2026-03-21
Polkadot,dot,1.49,2500772043,136231615.0,-2.54179,2026-03-21
Mantle,mnt,0.751355,2467917357,27926050.0,-1.09467,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.00922,2026-03-21
Uniswap,uni,3.59,2272919934,151810751.0,-0.78202,2026-03-21
PAX Gold,paxg,4507.86,2266812123,415911575.0,-3.19722,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.198925,1952149482,41160357.0,5.54322,2026-03-21
OKB,okb,88.41,1855608436,12826840.0,-0.46076,2026-03-21
Global Dollar,usdg,0.999877,1775558373,22100013.0,-0.00413,2026-03-21
Falcon USD,usdf,0.99775,1748293838,1139803.0,-0.02531,2026-03-21
Sky,sky,0.073596,1697763366,10861111.0,1.97979,2026-03-21
Aster,aster,0.69122,1697406193,132147134.0,0.69197,2026-03-21
NEAR Protocol,near,1.31,1693875987,120597438.0,-2.31377,2026-03-21
Bitcoin,btc,70572.0,1411586264962,32075671284.0,-0.06035,2026-03-21
Ethereum,eth,2153.07,259871801927,13271825020.0,0.18284,2026-03-21
Tether,usdt,0.999784,184142365540,50529853249.0,-0.01828,2026-03-21
XRP,xrp,1.44,88307188413,1498447792.0,-0.78362,2026-03-21
BNB,bnb,642.73,87641246525,790683639.0,-0.09206,2026-03-21
USDC,usdc,0.999901,79038828773,5258142604.0,-0.00063,2026-03-21
Solana,sol,89.94,51418909021,2437583186.0,0.64309,2026-03-21
TRON,trx,0.30978,29349398594,534698441.0,1.08138,2026-03-21
